ds,y
2017-04-26,1
2017-04-26,1
2017-04-26,1
2017-04-26,1
2017-04-26,2
2017-04-26,1
2017-04-26,0
2017-04-26,1
2017-04-26,0
2017-04-26,1
2017-04-26,1
2017-04-26,1
2017-04-26,1
2017-04-26,1
2017-04-26,1
2017-04-26,1
2017-04-26,0
2017-04-26,1
2017-04-26,0
2017-04-26,1
2017-04-26,0
2017-04-26,0
2017-04-26,1
2017-04-26,0
2017-04-26,1
2017-04-26,1
2017-04-26,1
2017-04-26,1
2017-04-26,1
2017-04-26,0
2017-04-26,1
2017-04-26,2
2017-04-26,1
2017-04-26,1
2017-04-26,1
